ref_code,source_material_id_orig,source_material_id,ref_code_seq
EMOBON00591,Katza_3- 25/03/22_SF_rep1,EMOBON_IUIEilat_Ha_31,DBN_AABM
EMOBON00592,Katza_3- 25/03/22_SF_rep2,EMOBON_IUIEilat_Ha_32,DBN_AABN
EMOBON00593,Katza_3- 25/03/22_MF100_rep1,EMOBON_IUIEilat_Ha_33,DBN_AABO
EMOBON00594,Katza_3- 25/03/22_MF100_rep2,EMOBON_IUIEilat_Ha_34,DBN_AABP
EMOBON00595,Katza_3- 25/03/22_MF500_rep1,EMOBON_IUIEilat_Ha_35,DBN_AABQ
EMOBON00596,Katza_3- 25/03/22_MF500_rep2,EMOBON_IUIEilat_Ha_36,DBN_AABR
EMOBON00597,EMOBON_BPNS_So_220420_macro_2,EMOBON_BPNS_So_52,DBK_AAAX
EMOBON00598,EMOBON_BPNS_So_211028_macro_1,EMOBON_BPNS_So_23,DBK_AAAY
EMOBON00599,EMOBON_BPNS_So_211028_macro_2,EMOBON_BPNS_So_24,DBK_AAAZ
EMOBON00600,EMO BON CPOWERB HA 20210623 20220622 SF40 (1),EMOBON_BPNS_Ha_8,DBN_AABS
EMOBON00601,EMO BON CPOWERB HA 20210623 20220622 SF40 (2),EMOBON_BPNS_Ha_9,DBN_AABT
EMOBON00602,EMO BON CPOWERB HA 20210623 20220622 SF40 (3),EMOBON_BPNS_Ha_10,DBN_AABU
EMOBON00603,EMO BON CPOWERC HA 20210623 20220622 SF40 (1),EMOBON_BPNS_Ha_11,DBN_AABV
EMOBON00604,EMO BON CPOWERC HA 20210623 20220622 SF40 (2),EMOBON_BPNS_Ha_16,DBN_AABW
EMOBON00605,EMO BON CPOWERC HA 20210623 20220622 SF40 (3),EMOBON_BPNS_Ha_17,DBN_AABX
EMOBON00606,EMO BON CPOWERB HA 20210623 20220622 MF500 (1),EMOBON_BPNS_Ha_12,DBN_AABY
EMOBON00607,EMO BON CPOWERB HA 20210623 20220622 MF500 (2),EMOBON_BPNS_Ha_13,DBN_AABZ
EMOBON00608,EMO BON CPOWERB HA 20210623 20220622 MF100 (1),EMOBON_BPNS_Ha_14,DBN_AACA
EMOBON00609,EMO BON CPOWERB HA 20210623 20220622 MF100 (2),EMOBON_BPNS_Ha_15,DBN_AACB
EMOBON00610,EMO BON CPOWERC HA 20210623 20220622 MF500 (1),EMOBON_BPNS_Ha_18,DBN_AACC
EMOBON00611,EMO BON CPOWERC HA 20210623 20220622 MF500 (2),EMOBON_BPNS_Ha_19,DBN_AACD
EMOBON00612,EMO BON CPOWERC HA 20210623 20220622 MF100 (1),EMOBON_BPNS_Ha_20,DBN_AACE
EMOBON00613,EMO BON CPOWERC HA 20210623 20220622 MF100 (2),EMOBON_BPNS_Ha_21,DBN_AACF
EMOBON00614,EMOBON_EMT21_So_211020_macro_1mm_1,EMOBON_EMT21_So_1,DBK_AABA
EMOBON00615,EMOBON_EMT21_So_211020_macro_1mm_2,EMOBON_EMT21_So_2,DBK_AABB
EMOBON00616,EMOBON_EMT21_So_211020_macro_0.5mm_1,EMOBON_EMT21_So_5,DBK_AABC
EMOBON00617,EMOBON_EMT21_So_211020_macro_0.5mm_2,EMOBON_EMT21_So_6,DBK_AABD
EMOBON00618,EMO BON Toralla JTA ARMS 210701 211009 SF (1),EMOBON_EMT21_Ha_1,DBN_AACG
EMOBON00619,EMO BON Toralla JTA ARMS 210701 211009 SF (2),EMOBON_EMT21_Ha_2,DBN_AACH
EMOBON00620,EMO BON Toralla JTA ARMS 210701 211009 SF (3),EMOBON_EMT21_Ha_3,DBN_AACI
EMOBON00621,EMO BON Toralla JTB ARMS 210701 211009 SF (1),EMOBON_EMT21_Ha_4,DBN_AACJ
EMOBON00622,EMO BON Toralla JTB ARMS 210701 211009 SF (2),EMOBON_EMT21_Ha_5,DBN_AACK
EMOBON00623,EMO BON Toralla JTC ARMS 210701 211009 SF (1),EMOBON_EMT21_Ha_6,DBN_AACL
EMOBON00624,EMO BON Toralla JTC ARMS 210701 211009 SF (2),EMOBON_EMT21_Ha_7,DBN_AACM
EMOBON00625,EMO BON Toralla JTA ARMS 210701 211009 MF500 (1),EMOBON_EMT21_Ha_8,DBN_AACN
EMOBON00626,EMO BON Toralla JTA ARMS 210701 211009 MF100 (1),EMOBON_EMT21_Ha_9,DBN_AACO
EMOBON00627,EMO BON Toralla JTB ARMS 210701 211009 MF500 (1),EMOBON_EMT21_Ha_10,DBN_AACP
EMOBON00628,EMO BON Toralla JTB ARMS 210701 211009 MF100 (1),EMOBON_EMT21_Ha_11,DBN_AACQ
EMOBON00629,EMO BON Toralla JTC ARMS 210701 211009 MF500 (1),EMOBON_EMT21_Ha_12,DBN_AACR
EMOBON00630,EMO BON Toralla JTC ARMS 210701 211009 MF100 (1),EMOBON_EMT21_Ha_13,DBN_AACS
EMOBON00631,ARMS_ VEN1_20210623-20220713_SF40_A,EMOBON_Italy_Ha_1,DBN_AACT
EMOBON00632,ARMS_ VEN1_20210623-20220713_MF100_A,EMOBON_Italy_Ha_2,DBN_AACU
EMOBON00633,ARMS_ VEN1_20210623-20220713_MF500_A,EMOBON_Italy_Ha_3,DBN_AACV
EMOBON00634,ARMS_ VEN2_20210623-20220713_SF40_A,EMOBON_Italy_Ha_4,DBN_AACW
EMOBON00635,ARMS_ VEN2_20210623-20220713_MF100_A,EMOBON_Italy_Ha_5,DBN_AACX
EMOBON00636,ARMS_ VEN2_20210623-20220713_MF500_A,EMOBON_Italy_Ha_6,DBN_AACY
EMOBON00637,ARMS_ VEN3_20210623-20220713_SF40_A,EMOBON_Italy_Ha_7,DBN_AACZ
EMOBON00638,ARMS_ VEN3_20210623-20220713_MF100_A,EMOBON_Italy_Ha_8,DBN_AADA
EMOBON00639,ARMS_ VEN3_20210623-20220713_MF500_A,EMOBON_Italy_Ha_9,DBN_AADB
EMOBON00640,ARMS_RAVH1_20220428-20220718_SF40_A,EMOBON_Italy_Ha_13,DBN_AADC
EMOBON00641,ARMS_RAVH1_20220428-20220718_MF100_A,EMOBON_Italy_Ha_14,DBN_AADD
EMOBON00642,ARMS_RAVH1_20220428-20220718_MF500_A,EMOBON_Italy_Ha_15,DBN_AADE
EMOBON00643,ARMS_RAVH2_20220428-20220718_SF40_A,EMOBON_Italy_Ha_13,DBN_AADF
