old_source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_run_metag,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,source_mat_id
EMOBON_AAOT_Wa_210809_3um_2,EMOBON00053,,ERS20568994,ERX13355364,ERR13954269,PRJEB50566,PRJEB51688,SAMEA115828477,EMOBON_AAOT_Wa_22
EMOBON_BPNS_Wa_210701_0.2um_1,EMOBON00009,DBB_AACU,ERS16590013,ERX13356184,ERR13955089,PRJEB51652,PRJEB51688,SAMEA114561120,EMOBON_BPNS_Wa_7
EMOBON_BPNS_Wa_210701_0.2um_2,EMOBON00010,DBB_AACV,ERS16590014,ERX13356185,ERR13955090,PRJEB51652,PRJEB51688,SAMEA114561121,EMOBON_BPNS_Wa_6
EMOBON_BPNS_Wa_210701_3um_1,EMOBON00007,DBB_AACS,ERS16590011,ERX13356182,ERR13955087,PRJEB51652,PRJEB51688,SAMEA114561118,EMOBON_BPNS_Wa_1
EMOBON_BPNS_Wa_210701_3um_2,EMOBON00008,DBB_AACT,ERS16590012,ERX13356183,ERR13955088,PRJEB51652,PRJEB51688,SAMEA114561119,EMOBON_BPNS_Wa_2
EMOBON_BPNS_Wa_210825_0.2um_1,EMOBON00013,DBB_AACY,ERS16590017,ERX13356188,ERR13955093,PRJEB51652,PRJEB51688,SAMEA114561124,EMOBON_BPNS_Wa_26
EMOBON_BPNS_Wa_210825_0.2um_2,EMOBON00014,DBB_AACE,ERS16590018,ERX13356189,ERR13955094,PRJEB51652,PRJEB51688,SAMEA114561125,EMOBON_BPNS_Wa_27
EMOBON_BPNS_Wa_210825_3um_1,EMOBON00011,DBB_AACW,ERS16590015,ERX13356186,ERR13955091,PRJEB51652,PRJEB51688,SAMEA114561122,EMOBON_BPNS_Wa_21
EMOBON_BPNS_Wa_210825_3um_2,EMOBON00012,DBB_AACX,ERS16590016,ERX13356187,ERR13955092,PRJEB51652,PRJEB51688,SAMEA114561123,EMOBON_BPNS_Wa_22
EMOBON_EMT21_Wa_210825_0.2um_1,EMOBON00033,,ERS20569032,ERX13355354,ERR13954259,PRJEB51653,PRJEB51688,SAMEA115828515,EMOBON_EMT21_Wa_6
EMOBON_EMT21_Wa_210825_0.2um_2,EMOBON00034,,ERS20569033,ERX13355355,ERR13954260,PRJEB51653,PRJEB51688,SAMEA115828516,EMOBON_EMT21_Wa_7
EMOBON_EMT21_Wa_210825_3um_1,EMOBON00031,,ERS20569030,ERX13355352,ERR13954257,PRJEB51653,PRJEB51688,SAMEA115828513,EMOBON_EMT21_Wa_1
EMOBON_EMT21_Wa_210825_3um_2,EMOBON00032,,ERS20569031,ERX13355353,ERR13954258,PRJEB51653,PRJEB51688,SAMEA115828514,EMOBON_EMT21_Wa_2
EMOBON_ESC68N_Wa_210830_0.2um_1,EMOBON00005,,ERS20569059,ERX13355163,ERR13954068,PRJEB51654,PRJEB51688,SAMEA115828542,EMOBON_ESC68N_Wa_3
EMOBON_ESC68N_Wa_210830_0.2um_2,EMOBON00006,,ERS20569060,ERX13355164,ERR13954069,PRJEB51654,PRJEB51688,SAMEA115828543,EMOBON_ESC68N_Wa_4
EMOBON_ESC68N_Wa_210830_3um_1,EMOBON00003,,ERS20569057,ERX13355161,ERR13954066,PRJEB51654,PRJEB51688,SAMEA115828540,EMOBON_ESC68N_Wa_1
