old_source_mat_id,ref_code,ref_code_seq,ena_accession_number_sample,ena_accession_number_experiment_metag,ena_accession_number_experiment_metab,ena_accession_number_run_metag,ena_accession_number_run_metab,ena_accession_number_project,ena_accession_number_umbrella,biosamples_accession_number,source_mat_id
EMOBON_AAOT_Wa_220804_0.2um_1,EMOBON00335,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_AAOT_Wa_146
EMOBON_AAOT_Wa_220804_0.2um_2,EMOBON00336,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_AAOT_Wa_147
EMOBON_VB_Wa_220221_3um_1,EMOBON00337,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_VB_Wa_189
EMOBON_VB_Wa_220221_3um_2,EMOBON00338,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_VB_Wa_190
EMOBON_VB_Wa_220221_0.2um_1,EMOBON00339,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_VB_Wa_192
EMOBON_VB_Wa_220221_0.2um_2,EMOBON00340,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_VB_Wa_193
EMOBON_VB_Wa_220419_3um_1,EMOBON00341,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_VB_Wa_236
EMOBON_VB_Wa_220419_3um_2,EMOBON00342,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_VB_Wa_237
EMOBON_VB_Wa_220419_0.2um_1,EMOBON00343,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_VB_Wa_239
EMOBON_VB_Wa_220419_0.2um_2,EMOBON00344,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_VB_Wa_240
EMOBON_VB_Wa_220614_3um_1,EMOBON00345,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_VB_Wa_288
EMOBON_VB_Wa_220614_3um_2,EMOBON00346,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_VB_Wa_289
EMOBON_VB_Wa_220614_0.2um_1,EMOBON00347,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_VB_Wa_291
EMOBON_VB_Wa_220614_0.2um_2,EMOBON00348,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_VB_Wa_292
EMOBON_VB_Wa_220823_3um_1,EMOBON00349,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_VB_Wa_340
EMOBON_VB_Wa_220823_3um_2,EMOBON00350,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_VB_Wa_341
EMOBON_VB_Wa_220823_0.2um_1,EMOBON00351,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_VB_Wa_343
EMOBON_VB_Wa_220823_0.2um_2,EMOBON00352,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_VB_Wa_344
EMOBON_ROSKOGO_Wa_220210_3um_1,EMOBON00353,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_Wa_43
EMOBON_ROSKOGO_Wa_220210_3um_2,EMOBON00354,,to_be_added,to_be_added,NA,to_be_added,NA,to_be_added,PRJEB51688,to_be_added,EMOBON_ROSKOGO_Wa_44
